stadsdeel,postcode_min,postcode_max
E,1053MX,1053MZ
E,1053NC,1053NP
E,1053NT,1053NV
E,1053NX,1053PH
E,1053PK,1053RJ
E,1053RL,1053RP
E,1053RS,1053RS
E,1053RV,1053TJ
E,1053TM,1053VN
E,1053VR,1053VX
E,1053WB,1053WL
E,1053WN,1053WV
E,1053WX,1053XJ
E,1053XL,1053XL
E,1053XP,1053ZZ
E,1054AA,1054LH
E,1054LK,1054ML
E,1054MN,1054MV
E,1054MX,1054MX
E,1054NA,1054NN
E,1054NZ,1054PA
E,1054PD,1054PD
E,1054PG,1054PJ
E,1054PL,1054PW
E,1054RA,1054RD
E,1054RH,1054RJ
E,1054RL,1054RM
E,1054RS,1054RZ
E,1054SC,1054SP
E,1054SX,1054VZ
E,1054WB,1054WL
E,1054WN,1054WV
E,1054WX,1054ZW
E,1055AA,1055AB
E,1055AD,1055AD
E,1055AG,1055AG
E,1055AJ,1055AK
E,1055AM,1055ET
E,1055EW,1055ML
E,1055MN,1055MV
E,1055MX,1055SC
E,1055SN,1055VZ
E,1055WB,1055WL
E,1055WN,1055WV
E,1055WX,1055ZZ
E,1056AA,1056LE
E,1056LV,1056LV
E,1056ND,1056VZ
E,1056WB,1056WL
E,1056WN,1056WV
E,1056WX,1056XZ
E,1057AA,1057CK
E,1057CM,1057KH
E,1057KN,1057KP
E,1057NE,1057NE
E,1057PJ,1057VZ
E,1057WB,1057WL
E,1057WN,1057WV
E,1057WX,1057ZZ
E,1058AA,1058DX
E,1058GK,1058GK
E,1058GP,1058HC
E,1058VD,1058VZ
E,1058XA,1058XZ
E,1061AZ,1061BM
E,1061BT,1061CC
E,1061CE,1061CS
E,1061CV,1061DM
E,1061DP,1061HT
E,1061HW,1061HW
E,1061JB,1061JE
E,1061MA,1061MJ
E,1071AA,1071AA
F,1043AA,1043AA
F,1043BE,1043BH
F,1046AP,1046AP
F,1046AZ,1046AZ
F,1057BW,1057BW
F,1057NG,1057PH
F,1058EA,1058ET
F,1058GA,1058GD
F,1058LV,1058LV
F,1058LX,1058LZ
