stadsdeel,postcode_min,postcode_max
T,1104MA,1104ML
T,1104MN,1104MV
T,1104MX,1104NP
T,1104NS,1104PV
T,1104RA,1104RA
T,1104SC,1104SH
T,1104SK,1104VE
T,1105AA,1105AA
T,1105AC,1105AC
T,1105AE,1105AJ
T,1105AL,1105AL
T,1105AN,1105AT
T,1105AZ,1105BA
T,1105BC,1105BK
T,1105BM,1105BR
T,1105BV,1105BX
T,1106AD,1106AH
T,1106AK,1106AK
T,1106AM,1106AX
T,1106BA,1106BK
T,1106BM,1106DV
T,1106EA,1106GW
T,1106GZ,1106LP
T,1106LT,1106MD
T,1106MH,1106MJ
T,1106ML,1106ML
T,1106MN,1106MP
T,1106MS,1106MV
T,1106MX,1106MX
T,1106NA,1106RV
T,1106SB,1106VZ
T,1106WB,1106WL
T,1106WN,1106WV
T,1106WX,1106WX
T,1106XA,1106ZT
T,1107AC,1107AR
T,1107AV,1107BB
T,1107BH,1107BL
T,1107BN,1107DM
T,1107EA,1107EB
T,1107EG,1107EG
T,1107EJ,1107EJ
T,1107ES,1107GB
T,1107GM,1107GV
T,1107HA,1107HG
T,1107HR,1107HV
T,1107HX,1107JA
T,1107JD,1107JX
T,1107KB,1107KB
T,1107KD,1107KP
T,1107KT,1107KX
T,1107LA,1107LR
T,1107NA,1107NH
T,1107NK,1107NK
T,1107PA,1107RN
T,1107RR,1107SX
T,1107TA,1107TX
T,1107VA,1107VZ
T,1107WB,1107WL
T,1107WN,1107WV
T,1107WX,1107XM
T,1107ZX,1107ZX
T,1108AA,1108AB
T,1108AJ,1108AJ
T,1108AW,1108DX
T,1108EA,1108EA
T,1108EL,1108GD
T,1108GH,1108GM
T,1108GX,1108HV
T,1108JA,1108JA
T,1109AD,1109BN
T,1109BR,1109BX
T,1109CA,1109CA
T,1109CD,1109CE
T,1109CH,1109CJ
V,1180AA,1180ZZ
V,1181AA,1181ZZ
V,1182AA,1182ZZ
V,1183AA,1183ZZ
V,1184AA,1184ZZ
V,1185AA,1185ZZ
V,1186AA,1186ZZ
V,1187AA,1187ZZ
V,1188AA,1188ZZ
V,1189AA,1189ZZ
