Naam openbare ruimte;Huisnummer;Huisletter;Huisnummertoevoeging;Postcode;Woonplaats;Naam stadsdeel;Code stadsdeel;Naam gebiedsgerichtwerkengebied;Code gebiedsgerichtwerkengebied;Naam Wijk;Code Wijk;Naam buurt;Code buurt;Code bouwblok;X-coordinaat (RD);Y-coordinaat (RD);Latitude (WGS84);Longitude (WGS84);Indicatie hoofdadres;Gebruiksdoel;Feitelijk gebruik;Oppervlakte (m2);Objecttype;Verblijfsobjectstatus;Openbareruimte-identificatie;Pandidentificatie;Verblijfsobjectidentificatie;Ligplaatsidentificatie;Standplaatsidentificatie;Nummeraanduidingidentificatie
Danzigerkade;13;G;;1013AP;;Westpoort;B;;;Westelijk Havengebied;B10;Coenhaven/Mercuriushaven;B10a;DD43;120276;490218;52,3987019;4,8770078;;BEST-kantoorfunctie;kantoor (hoofdcode);611;Verblijfsobject;Verblijfsobject in gebruik;0363300000003195;['0363100012246426'];0363010012065371;;;0363200012065541
Danzigerkade;13;E;;1013AP;;Westpoort;B;;;Westelijk Havengebied;B10;Coenhaven/Mercuriushaven;B10a;DD43;120278;490218;52,3987020;4,8770371;;BEST-kantoorfunctie;kantoor (hoofdcode);394;Verblijfsobject;Verblijfsobject in gebruik;0363300000003195;['0363100012246426'];0363010012065369;;;0363200012065539
Haparandadam;33;;;1013AK;;Westpoort;B;;;Westelijk Havengebied;B10;Coenhaven/Mercuriushaven;B10a;;120618;490117;52,3978179;4,8820566;;;;;Ligplaats;Plaats aangewezen;0363300003682813;;;0363020012061200;;0363200012068546
Haparandadam;17;;;1013AK;;Westpoort;B;;;Westelijk Havengebied;B10;Coenhaven/Mercuriushaven;B10a;;120557;490065;52,3973530;4,8811600;;;;;Ligplaats;Plaats aangewezen;0363300003682813;;;0363020012061192;;0363200012068537
Haparandadam;13;;;1013AK;;Westpoort;B;;;Westelijk Havengebied;B10;Coenhaven/Mercuriushaven;B10a;;120542;490053;52,3972368;4,8809359;;;;;Ligplaats;Plaats aangewezen;0363300003682813;;;0363020012061190;;0363200012068535
Haparandadam;11;;;1013AK;;Westpoort;B;;;Westelijk Havengebied;B10;Coenhaven/Mercuriushaven;B10a;;120534;490046;52,3971787;4,8808238;;;;;Ligplaats;Plaats aangewezen;0363300003682813;;;0363020012061189;;0363200012068534
Archangelkade;30;;;1013BE;;Westpoort;B;;;Westelijk Havengebied;B10;Coenhaven/Mercuriushaven;B10a;DD25;119859;490240;52,3988731;4,8708788;;BEST-industriefunctie;kantoor (hoofdcode);5077;Verblijfsobject;Verblijfsobject in gebruik;0363300000002742;['0363100012240446'];0363010012069629;;;0363200012069870
Petroleumhavenweg;38;;;1041AC;;Westpoort;B;;;Westelijk Havengebied;B10;Petroleumhaven;B10c;DD07;119178;491621;52,4112403;4,8607258;;BEST-overige gebruiksfunctie ;;1430;Verblijfsobject;Verblijfsobject gevormd;0363300000004355;['0363100012233307'];0363010012069949;;;0363200012070192
Moermanskkade;109;;;1013BC;;Westpoort;B;;;Westelijk Havengebied;B10;Coenhaven/Mercuriushaven;B10a;DD25;119915;490300;52,3994159;4,8716953;;BEST-kantoorfunctie;overig bedrijf;668;Verblijfsobject;Verblijfsobject in gebruik;0363300000006027;['0363100012240348'];0363010012069130;;;0363200012069361
Moermanskkade;107;;;1013BC;;Westpoort;B;;;Westelijk Havengebied;B10;Coenhaven/Mercuriushaven;B10a;DD25;119914;490303;52,3994428;4,8716803;;BEST-bijeenkomstfunctie;overig bedrijf;4174;Verblijfsobject;Verblijfsobject in gebruik;0363300000006027;['0363100012240348'];0363010012069129;;;0363200012069360
Moermanskkade;111;;;1013BC;;Westpoort;B;;;Westelijk Havengebied;B10;Coenhaven/Mercuriushaven;B10a;DD25;119916;490299;52,3994070;4,8717101;;BEST-kantoorfunctie;overig bedrijf;783;Verblijfsobject;Verblijfsobject in gebruik;0363300000006027;['0363100012240348'];0363010012069128;;;0363200012069359
Danzigerkade;165;;;1013AP;;Westpoort;B;;;Westelijk Havengebied;B10;Coenhaven/Mercuriushaven;B10a;DD44;120158;490580;52,4019478;4,8752365;;BEST-kantoorfunctie;overig bedrijf;7228;Verblijfsobject;Verblijfsobject gevormd;0363300000003195;['0363100012240529'];0363010012071243;;;0363200012071516
Kaapstadweg;25;;;1047HG;;Westpoort;B;;;Westelijk Havengebied;B10;Afrikahaven;B10g;DA35;110641;491414;52,4087560;4,7352913;;BEST-kantoorfunctie;;14760;Verblijfsobject;Verblijfsobject gevormd;0363300000001077;['0363100012250194'];0363010012124843;;;0363200012126686
Danzigerbocht;39;N;;;;Westpoort;B;;;Westelijk Havengebied;B10;Coenhaven/Mercuriushaven;B10a;DD25;120078;490069;52,3973502;4,8741142;;BEST-kantoorfunctie;;227;Verblijfsobject;Verblijfsobject gevormd;0363300000003194;['0363100012250251'];0363010012126253;;;0363200012128146
Rigakade;29;;;1013BB;;Westpoort;B;;;Westelijk Havengebied;B10;Coenhaven/Mercuriushaven;B10a;DD39;120091;489803;52,3949604;4,8743328;;BEST-industriefunctie;opslag / distributie;461;Verblijfsobject;Verblijfsobject in gebruik;0363300000004661;['0363100012108505'];0363010000816359;;;0363200000439546
Petroleumhavenweg;1;;;1041AB;;Westpoort;B;;;Westelijk Havengebied;B10;Petroleumhaven;B10c;DC15;118568;490886;52,4045946;4,8518408;;BEST-overige gebruiksfunctie ;dienstverlening openbaar nut;1;Verblijfsobject;Verblijfsobject in gebruik;0363300000004355;['0363100012108611'];0363010000738835;;;0363200000442684
Hemweg;177;;;1041AS;;Westpoort;B;;;Westelijk Havengebied;B10;Westhaven Noord;B10d;DC03;116812;492412;52,4181895;4,8258640;;BEST-woning;woning;54;Verblijfsobject;Verblijfsobject in gebruik;0363300000003375;['0363100012108879'];0363010000662502;;;0363200000442967
Petroleumhavenweg;21;;;1041AB;;Westpoort;B;;;Westelijk Havengebied;B10;Petroleumhaven;B10c;DC21;118734;491396;52,4091890;4,8542249;;BEST-woning;woning;119;Verblijfsobject;Verblijfsobject in gebruik;0363300000004355;['0363100012152059'];0363010000773162;;;0363200000233194
Petroleumhavenweg;39;;;;;Westpoort;B;;;Westelijk Havengebied;B10;Petroleumhaven;B10c;DC17;118626;491925;52,4139361;4,8525804;;BEST-industriefunctie;opslag / distributie;1;Verblijfsobject;Verblijfsobject in gebruik;0363300000004355;['0363100012136801'];0363010000773169;;;0363200000233205
Plimsollweg;4;;;1042AS;;Westpoort;B;;;Westelijk Havengebied;B10;Westhaven Noord;B10d;DB18;117434;489969;52,3962769;4,8352802;;BEST-industriefunctie;bedrijf;8692;Verblijfsobject;Verblijfsobject in gebruik;0363300000001847;['0363100012148910'];0363010000778381;;;0363200000238290
Petroleumhavenweg;28;;;1041AC;;Westpoort;B;;;Westelijk Havengebied;B10;Petroleumhaven;B10c;DC17;119066;491503;52,4101725;4,8590924;;BEST-industriefunctie;bedrijf;1647;Verblijfsobject;Verblijfsobject in gebruik;0363300000004355;['0363100012106128'];0363010000822934;;;0363200000446321
Minervahavenweg;15;;;1013AR;;Westpoort;B;;;Westelijk Havengebied;B10;Coenhaven/Mercuriushaven;B10a;DD43;120169;490324;52,3996478;4,8754247;;BEST-industriefunctie;bedrijf;128;Verblijfsobject;Verblijfsobject in gebruik;0363300000003788;['0363100012070230'];0363010000827365;;;0363200000446596
Oostzeeweg;1;;;1045AZ;;Westpoort;B;;;Westelijk Havengebied;B10;Amerikahaven;B10f;DA12;114260;490412;52,4000317;4,7885959;;BEST-industriefunctie;bedrijf;1415;Verblijfsobject;Verblijfsobject in gebruik;0363300000001186;['0363100012122805'];0363010000952881;;;0363200000448680
Amerikahavenweg;22;;;1045AE;;Westpoort;B;;;Westelijk Havengebied;B10;Amerikahaven;B10f;DA08;114530;491261;52,4076817;4,7924606;;BEST-industriefunctie;bedrijf;195;Verblijfsobject;Verblijfsobject in gebruik;0363300000005522;['0363100012073148'];0363010000951704;;;0363200000451537
Westhavenweg;46;;;1042AL;;Westpoort;B;;;Westelijk Havengebied;B10;Westhaven Noord;B10d;DB04;117362;491083;52,4062836;4,8340974;;BEST-industriefunctie;bedrijf;1326;Verblijfsobject;Verblijfsobject in gebruik;0363300000004857;['0363100012081302'];0363010001003065;;;0363200000452846
Kwadrantweg;2;;;1042AG;;Westpoort;B;;;Westelijk Havengebied;B10;Westhaven Noord;B10d;DB12;117423;490465;52,4007338;4,8350630;;BEST-industriefunctie;bedrijf;7056;Verblijfsobject;Verblijfsobject in gebruik;0363300000004108;['0363100012115544'];0363010001003005;;;0363200000457850
Westhavenweg;47;;;1042AL;;Westpoort;B;;;Westelijk Havengebied;B10;Westhaven Noord;B10d;DB04;117282;491120;52,4066107;4,8329177;;BEST-industriefunctie;bedrijf;531;Verblijfsobject;Verblijfsobject in gebruik;0363300000004857;['0363100012140058'];0363010001003066;;;0363200000458173
Kretaweg;2;;;1044AS;;Westpoort;B;;;Westelijk Havengebied;B10;Westhaven Noord;B10d;;115696;489836;52,3949598;4,8097620;;BEST-industriefunctie;bedrijf;1;Verblijfsobject;Verblijfsobject in gebruik;0363300000001927;['0363100012095740'];0363010001026864;;;0363200000459728
Dukdalfweg;5;;;1041BC;;Westpoort;B;;;Westelijk Havengebied;B10;Westhaven Noord;B10d;DC31;116751;492162;52,4159385;4,8249959;;BEST-industriefunctie;kantoor (hoofdcode);300;Verblijfsobject;Verblijfsobject in gebruik;0363300000001520;['0363100012072639'];0363010000994682;;;0363200000459862
Archangelkade;5;B;;1013BE;;Westpoort;B;;;Westelijk Havengebied;B10;Coenhaven/Mercuriushaven;B10a;DD25;119768;489797;52,3948859;4,8695882;;BEST-industriefunctie;bedrijf;1;Verblijfsobject;Verblijfsobject in gebruik;0363300000002742;['0363100012075449'];0363010000571610;;;0363200000034353
Archangelkade;9;;;1013BE;;Westpoort;B;;;Westelijk Havengebied;B10;Coenhaven/Mercuriushaven;B10a;DD25;119871;489991;52,3966360;4,8710811;;BEST-industriefunctie;;1877;Verblijfsobject;Verblijfsobject in gebruik;0363300000002742;['0363100012140981'];0363010000571615;;;0363200000034358
Archangelkade;17;B;;1013BE;;Westpoort;B;;;Westelijk Havengebied;B10;Coenhaven/Mercuriushaven;B10a;DD25;119758;489990;52,3966198;4,8694211;;BEST-industriefunctie;bedrijf;1028;Verblijfsobject;Verblijfsobject in gebruik;0363300000002742;['0363100012091648'];0363010000571622;;;0363200000034367
Archangelkade;23;;;1013BE;;Westpoort;B;;;Westelijk Havengebied;B10;Coenhaven/Mercuriushaven;B10a;DD25;119811;490098;52,3975938;4,8701884;;BEST-industriefunctie;opslag / distributie;1355;Verblijfsobject;Verblijfsobject in gebruik;0363300000002742;['0363100012116434'];0363010000571630;;;0363200000034373
Dukdalfweg;46;;;1041BE;;Westpoort;B;;;Westelijk Havengebied;B10;Westhaven Noord;B10d;DC30;116727;492345;52,4175815;4,8246223;;BEST-industriefunctie;bedrijf;255;Verblijfsobject;Verblijfsobject in gebruik;0363300000001520;['0363100012113980'];0363010000980917;;;0363200000468409
Dukdalfweg;50;;;1041BE;;Westpoort;B;;;Westelijk Havengebied;B10;Westhaven Noord;B10d;DC30;116751;492338;52,4175202;4,8249758;;BEST-industriefunctie;bedrijf;488;Verblijfsobject;Verblijfsobject in gebruik;0363300000001520;['0363100012080328'];0363010000980919;;;0363200000468411
Dukdalfweg;52;;;1041BE;;Westpoort;B;;;Westelijk Havengebied;B10;Westhaven Noord;B10d;DC30;116755;492327;52,4174217;4,8250359;;BEST-industriefunctie;bedrijf;1;Verblijfsobject;Verblijfsobject in gebruik;0363300000001520;['0363100012096880'];0363010000980920;;;0363200000468412
Santoriniweg;25;;;1045AV;;Westpoort;B;;;Westelijk Havengebied;B10;Amerikahaven;B10f;DA03;114161;492525;52,4190141;4,7868841;;BEST-kantoorfunctie;bedrijf;330;Verblijfsobject;Verblijfsobject in gebruik;0363300000001340;['0363100012083888'];0363010000980925;;;0363200000468418
Oceanenweg;1;;;1047BA;;Westpoort;B;;;Westelijk Havengebied;B10;Amerikahaven;B10f;DA23;112310;491486;52,4095355;4,7598088;;BEST-industriefunctie;bedrijf;8027;Verblijfsobject;Verblijfsobject in gebruik;0363300000005447;['0363100012096569'];0363010001026559;;;0363200000469488
