Naam openbare ruimte;Huisnummer;Huisletter;Huisnummertoevoeging;Postcode;Woonplaats;Naam stadsdeel;Code stadsdeel;Naam gebiedsgerichtwerkengebied;Code gebiedsgerichtwerkengebied;Naam Wijk;Code Wijk;Naam buurt;Code buurt;Code bouwblok;X-coordinaat (RD);Y-coordinaat (RD);Latitude (WGS84);Longitude (WGS84);Indicatie hoofdadres;Gebruiksdoel;Feitelijk gebruik;Oppervlakte (m2);Objecttype;Verblijfsobjectstatus;Openbareruimte-identificatie;Pandidentificatie;Verblijfsobjectidentificatie;Ligplaatsidentificatie;Standplaatsidentificatie;Nummeraanduidingidentificatie
Sextantweg;6;;;1042AH;;Westpoort;B;;;Westelijk Havengebied;B10;Westhaven Noord;B10d;DB08;117446;490782;52,4035843;4,8353655;;BEST-woning;woning;104;Verblijfsobject;Verblijfsobject in gebruik;0363300000004512;['0363100012091473'];0363010000808825;;;0363200000267445
Sextantweg;8;;;1042AH;;Westpoort;B;;;Westelijk Havengebied;B10;Westhaven Noord;B10d;DB08;117262;490785;52,4035986;4,8326615;;BEST-industriefunctie;;39224;Verblijfsobject;Verblijfsobject in gebruik;0363300000004512;['0363100012134654'];0363010000808829;;;0363200000267449
Gyroscoopweg;148;;;1042AZ;;Westpoort;B;;;Westelijk Havengebied;B10;Vervoerscentrum;B10e;DB24;117942;490497;52,4010566;4,8426851;;BEST-kantoorfunctie;bedrijf;7200;Verblijfsobject;Verblijfsobject in gebruik;0363300000003773;['0363100012108985'];0363010000993940;;;0363200000477994
Gyroscoopweg;150;;;1042AZ;;Westpoort;B;;;Westelijk Havengebied;B10;Vervoerscentrum;B10e;DB24;117940;490498;52,4010655;4,8426556;;BEST-kantoorfunctie;bedrijf;1;Verblijfsobject;Verblijfsobject in gebruik;0363300000003773;['0363100012108985'];0363010000993941;;;0363200000477995
Zekeringstraat;33;;;1014BV;;Westpoort;B;;;Westelijk Havengebied;B10;Alfa-driehoek;B10b;DG43;118514;489926;52,3959633;4,8511517;;BEST-kantoorfunctie;kantoor in bedrijfsverzamelgebouw;2575;Verblijfsobject;Verblijfsobject in gebruik;0363300000001755;['0363100012066498'];0363010000994151;;;0363200000478210
Zekeringstraat;35;;;1014BV;;Westpoort;B;;;Westelijk Havengebied;B10;Alfa-driehoek;B10b;DG43;118514;489977;52,3964216;4,8511461;;BEST-kantoorfunctie;kantoor in bedrijfsverzamelgebouw;1368;Verblijfsobject;Verblijfsobject in gebruik;0363300000001755;['0363100012126893'];0363010000994152;;;0363200000478211
Dukdalfweg;24;;;1041BE;;Westpoort;B;;;Westelijk Havengebied;B10;Westhaven Noord;B10d;DC30;116753;492272;52,4169272;4,8250127;;BEST-industriefunctie;bedrijf;229;Verblijfsobject;Verblijfsobject in gebruik;0363300000001520;['0363100012100731'];0363010000993931;;;0363200000478310
Dukdalfweg;32;;;1041BE;;Westpoort;B;;;Westelijk Havengebied;B10;Westhaven Noord;B10d;DC30;116778;492282;52,4170188;4,8253791;;BEST-industriefunctie;bedrijf;274;Verblijfsobject;Verblijfsobject in gebruik;0363300000001520;['0363100012100091'];0363010000993935;;;0363200000478314
Dukdalfweg;34;;;1041BE;;Westpoort;B;;;Westelijk Havengebied;B10;Westhaven Noord;B10d;DC30;116782;492270;52,4169113;4,8254392;;BEST-industriefunctie;bedrijf;274;Verblijfsobject;Verblijfsobject in gebruik;0363300000001520;['0363100012070339'];0363010000993936;;;0363200000478315
Latexweg;12;;;1047BJ;;Westpoort;B;;;Westelijk Havengebied;B10;Amerikahaven;B10f;DA16;112483;491887;52,4131528;4,7623003;;BEST-kantoorfunctie;;361;Verblijfsobject;Verblijfsobject in gebruik;0363300000001089;['0363100012129045'];0363010000994080;;;0363200000478457
